,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
517,2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
1950,2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2710,2022,EX,FT,Data Engineer,187200,USD,187200,US,100,US,M
2088,2022,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
749,2023,SE,FT,Data Engineer,146000,USD,146000,US,0,US,M
921,2023,SE,FT,Data Scientist,183000,USD,183000,US,100,US,M
280,2023,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M
108,2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M
1732,2023,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
99,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L
1006,2023,SE,FT,Machine Learning Engineer,122700,USD,122700,US,0,US,M
3074,2022,EN,FT,Data Scientist,49500,EUR,52008,BE,50,BE,S
3738,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
2248,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
487,2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
6,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
1513,2023,MI,FT,Data Engineer,250000,USD,250000,US,0,US,M
1427,2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
3334,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
2594,2022,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
1789,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2290,2022,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M
453,2023,MI,FT,Data Analyst,60000,GBP,72914,GB,0,GB,M
2238,2022,SE,FT,Data Engineer,35000,EUR,36773,ES,0,ES,M
3630,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
1540,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
525,2023,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
1080,2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2885,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
1089,2023,SE,FT,Analytics Engineer,197000,USD,197000,US,0,US,M
2152,2022,SE,FT,ML Engineer,243000,USD,243000,US,100,US,M
2340,2022,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
321,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M
495,2023,MI,FT,MLOps Engineer,134000,USD,134000,US,100,US,M
758,2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
1846,2022,SE,FT,Data Scientist,51000,USD,51000,US,100,US,M
93,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M
632,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
351,2023,SE,FT,Data Engineer,147000,USD,147000,US,0,US,M
2920,2022,SE,FT,Analytics Engineer,63000,USD,63000,US,0,US,M
1338,2023,MI,FT,Data Engineer,55000,EUR,59020,ES,100,ES,M
1441,2023,MI,FT,Data Analyst,103200,USD,103200,US,0,US,M
1603,2023,SE,FT,Machine Learning Engineer,72000,EUR,77262,LV,0,LV,M
1577,2023,MI,FT,Data Analyst,120000,USD,120000,US,100,US,M
3286,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
685,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M
1597,2023,SE,FT,Data Science Consultant,145000,USD,145000,US,0,US,M
2689,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
1227,2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
702,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
3729,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
2859,2022,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
1051,2023,SE,FT,Data Scientist,82365,USD,82365,US,0,US,M
1004,2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
2341,2022,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
1272,2023,SE,FT,Machine Learning Engineer,153090,USD,153090,US,0,US,M
435,2023,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
1143,2023,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2307,2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
1922,2022,SE,FT,Data Engineer,175000,USD,175000,US,0,US,M
318,2023,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M
2833,2022,EX,FT,Data Engineer,260000,USD,260000,US,100,US,M
256,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
3372,2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M
1039,2023,SE,FT,Data Engineer,65488,USD,65488,US,0,US,M
898,2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
331,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2215,2022,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
2672,2022,SE,FT,Data Scientist,198440,USD,198440,US,100,US,M
3242,2022,MI,FT,Data Engineer,60000,GBP,73880,GB,0,GB,M
3377,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
1335,2023,MI,FT,Data Scientist,151410,USD,151410,US,100,US,M
1453,2023,SE,FT,Data Analyst,87000,USD,87000,US,100,US,M
1548,2022,EN,FT,AI Developer,6000,EUR,6304,MK,0,MK,S
3442,2022,MI,FT,Machine Learning Engineer,121000,AUD,83864,AU,100,AU,L
2828,2022,MI,FT,Data Engineer,150000,USD,150000,US,0,US,M
1851,2022,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
3321,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
366,2023,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M
876,2023,MI,FT,Data Analyst,80000,GBP,97218,GB,0,GB,M
610,2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
1334,2023,SE,FT,Research Engineer,102544,USD,102544,US,0,US,M
3389,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
1065,2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
169,2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M
2029,2022,EN,FT,Data Scientist,74540,USD,74540,US,0,US,M
13,2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L
1010,2023,SE,FT,Data Analyst,121904,USD,121904,US,0,US,M
2331,2022,SE,FT,Research Scientist,300000,USD,300000,US,100,US,M
581,2023,EN,FT,Data Scientist,190000,USD,190000,US,0,US,M
535,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
1208,2023,EN,FT,Research Engineer,60000,USD,60000,GB,100,GB,M
1608,2023,MI,FT,Data Analyst,105500,USD,105500,US,0,US,M
2240,2022,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
3501,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
834,2023,SE,FT,Research Scientist,215000,USD,215000,US,0,US,M
1456,2023,SE,FT,Data Engineer,165000,USD,165000,US,100,US,M
1703,2023,MI,FT,Data Scientist,165000,USD,165000,US,0,US,M
2480,2022,SE,FT,Data Scientist,138938,USD,138938,US,0,US,M
2887,2022,MI,FT,Financial Data Analyst,75000,USD,75000,US,0,US,M
2749,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
1852,2022,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
442,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
1698,2023,MI,FT,Machine Learning Engineer,175000,USD,175000,US,100,US,M
2297,2022,SE,FT,Data Analyst,131000,USD,131000,US,0,US,M
3285,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
2911,2022,SE,FT,Data Operations Analyst,66000,USD,66000,US,100,US,M
2552,2022,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
40,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L
2223,2022,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
725,2023,SE,FT,Analytics Engineer,183500,USD,183500,US,100,US,M
187,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
45,2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M
2978,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
1467,2023,SE,FT,Data Manager,105200,USD,105200,US,0,US,M
3290,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
839,2023,SE,FT,Machine Learning Engineer,153400,USD,153400,US,0,US,M
666,2023,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
2595,2022,SE,FT,Data Scientist,38000,USD,38000,US,100,US,M
563,2023,MI,FT,Data Engineer,151000,USD,151000,US,0,US,M
1028,2023,SE,FT,Machine Learning Engineer,139500,USD,139500,US,0,US,M
2129,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2733,2022,SE,FT,Data Scientist,148000,USD,148000,US,100,US,M
3196,2022,MI,FT,Data Analyst,40000,GBP,49253,GB,100,GB,M
1488,2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M
2781,2022,SE,FT,Data Engineer,102100,USD,102100,US,0,US,M
3461,2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
1489,2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M
3348,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
2411,2022,MI,FT,Data Analyst,160000,USD,160000,US,0,US,M
650,2023,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
372,2023,MI,FT,Data Specialist,80000,USD,80000,US,0,US,M
1126,2023,MI,FT,Data Infrastructure Engineer,183310,USD,183310,US,0,US,M
2444,2022,SE,FT,Data Scientist,45000,EUR,47280,ES,0,ES,M
2165,2022,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2066,2022,SE,FT,Data Scientist,125000,USD,125000,US,0,US,M
2084,2022,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
1266,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
779,2023,SE,FT,ML Engineer,260000,USD,260000,CA,100,CA,M
1263,2023,EX,FT,Data Engineer,235000,USD,235000,US,0,US,M
3440,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2336,2022,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M
2544,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
416,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
368,2023,MI,FT,Research Scientist,84570,GBP,102772,GB,0,GB,M
1519,2023,SE,FT,Data Scientist,110000,USD,110000,US,100,US,M
3669,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
1573,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
3350,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
1296,2023,SE,FT,Data Analyst,93919,USD,93919,US,100,US,M
2526,2022,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
988,2023,SE,FT,Data Analyst,1300000,INR,15806,IN,100,IN,S
3694,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
349,2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L
386,2023,SE,FT,Data Scientist,104650,USD,104650,US,100,US,M
1041,2023,SE,FT,Data Quality Analyst,64980,USD,64980,US,0,US,M
110,2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M
3473,2022,EN,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M
1735,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
3571,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L
2095,2022,MI,FT,Machine Learning Scientist,165000,USD,165000,US,0,US,M
161,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M
2567,2022,MI,FT,Data Scientist,84000,USD,84000,BR,100,BR,M
1035,2023,EX,FT,Head of Data Science,104891,GBP,127467,GB,0,GB,M
541,2023,SE,FT,Data Scientist,173000,USD,173000,US,100,US,M
661,2023,EN,FT,Data Analyst,95000,USD,95000,US,100,US,M
2128,2022,EN,FL,Data Analytics Consultant,50000,USD,50000,BE,100,US,S
3678,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
403,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
2415,2022,MI,FT,Data Analyst,109000,USD,109000,US,0,US,M
3543,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
2687,2022,MI,FT,Research Scientist,80000,EUR,84053,DE,0,DE,S
1021,2023,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
899,2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
1546,2023,MI,FT,Applied Data Scientist,80000,USD,80000,KE,100,KE,S
2925,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
1299,2023,SE,FT,Data Engineer,133832,USD,133832,US,0,US,M
3245,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
2657,2022,SE,FT,Data Engineer,40000,EUR,42026,PT,0,PT,M
2971,2022,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M
953,2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2177,2022,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
224,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2803,2022,SE,FT,Data Engineer,178800,USD,178800,US,100,US,L
3380,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
1545,2023,SE,FT,Computer Vision Engineer,200000,USD,200000,US,100,US,S
1176,2023,SE,FT,Machine Learning Infrastructure Engineer,70000,EUR,75116,FR,100,FR,M
1386,2022,MI,FT,Research Scientist,23000,USD,23000,IN,100,IN,L
186,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
630,2023,SE,FT,Data Engineer,105700,USD,105700,US,0,US,L
2027,2022,SE,FT,Data Analyst,119000,USD,119000,US,0,US,M
2922,2022,MI,FT,Data Scientist,90000,GBP,110820,GB,0,GB,M
2114,2022,MI,FT,Data Science Consultant,57000,GBP,70186,GB,0,GB,M
929,2023,MI,FT,Data Engineer,120000,USD,120000,US,0,US,M
2466,2022,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M
2993,2022,SE,FT,Data Science Manager,175100,USD,175100,US,100,US,M
2753,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
1987,2022,SE,FT,Data Engineer,198800,USD,198800,US,0,US,M
812,2023,MI,FT,Data Science Consultant,90000,USD,90000,US,0,US,M
709,2023,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
662,2023,EN,FT,Data Analyst,70000,USD,70000,US,100,US,M
2894,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
2621,2022,SE,FT,Data Science Consultant,122000,USD,122000,US,0,US,M
534,2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
1044,2023,SE,FT,Data Analyst,179975,USD,179975,US,100,US,M
2826,2022,EX,FT,Data Science Manager,222640,USD,222640,US,0,US,M
2173,2022,SE,FT,Data Engineer,194000,USD,194000,US,100,US,M
3443,2022,EN,FT,Data Scientist,40000,USD,40000,JP,100,MY,L
518,2023,SE,FT,Data Analyst,120250,USD,120250,US,100,US,M
1778,2023,SE,FT,Data Scientist,143100,USD,143100,CA,0,CA,M
3345,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
230,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M
3064,2022,EX,FT,Research Scientist,80000,EUR,84053,NL,0,NL,L
2037,2022,SE,FT,Data Engineer,65000,EUR,68293,ES,0,ES,M
7,2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M
1610,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2847,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
1992,2022,SE,FT,Data Scientist,104000,USD,104000,US,100,US,M
3491,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,84053,DE,0,DE,M
2686,2022,MI,FT,Research Scientist,120000,EUR,126080,DE,0,DE,S
1815,2023,SE,FT,Machine Learning Engineer,134500,USD,134500,US,0,US,L
3362,2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
3256,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
2242,2022,MI,FT,Data Specialist,135000,USD,135000,US,0,US,M
399,2023,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
540,2023,MI,FT,Machine Learning Engineer,90000,USD,90000,US,0,US,M
359,2023,SE,FT,Machine Learning Engineer,199000,USD,199000,US,100,US,M
2520,2022,SE,FT,Data Engineer,260000,USD,260000,US,0,US,M
1271,2023,SE,FT,Machine Learning Engineer,284310,USD,284310,US,0,US,M
2139,2022,SE,FT,Data Scientist,45000,EUR,47280,ES,0,ES,M
1177,2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2930,2022,SE,FT,Data Specialist,95000,USD,95000,US,100,US,M
2026,2022,SE,FT,Data Analyst,166700,USD,166700,US,0,US,M
932,2023,MI,FT,Data Engineer,105000,GBP,127599,GB,0,GB,M
2916,2022,EX,FT,AI Scientist,200000,USD,200000,US,100,US,S
3017,2022,SE,FT,Data Analyst,175000,USD,175000,US,100,US,M
1239,2023,MI,FT,Data Analyst,165000,USD,165000,US,0,US,M
996,2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2164,2022,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
364,2023,SE,FT,Data Scientist,110000,USD,110000,US,100,US,M
3502,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
3299,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
968,2023,EN,FT,Data Analyst,30000,USD,30000,IN,50,IN,M
136,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M
1747,2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2156,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
1748,2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2764,2022,SE,FT,Data Scientist,207000,USD,207000,US,100,US,M
3413,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
1566,2023,SE,FT,Data Analyst,38000,EUR,40777,ES,0,ES,M
1657,2023,SE,FT,Analytics Engineer,207000,USD,207000,US,0,US,M
262,2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M
1477,2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L
1760,2023,SE,FT,Data Scientist,182000,USD,182000,US,0,US,M
1237,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
171,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
1336,2023,MI,FT,Data Scientist,115360,USD,115360,US,100,US,M
3,2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M
720,2023,SE,FT,Data Infrastructure Engineer,184000,USD,184000,US,100,US,M
2416,2022,MI,FT,Data Scientist Lead,85000,EUR,89306,AT,50,AT,L
2618,2022,SE,FT,Analytics Engineer,150000,USD,150000,US,0,US,M
1783,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2677,2022,SE,FT,Data Analyst,35000,EUR,36773,ES,0,ES,M
181,2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M
1215,2023,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
1301,2023,SE,FT,Data Scientist,90000,USD,90000,US,100,US,M
2738,2022,SE,FT,Analytics Engineer,110000,USD,110000,US,100,US,M
724,2023,SE,FT,Analytics Engineer,275300,USD,275300,US,100,US,M
210,2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M
2939,2021,SE,FT,Data Analyst,50000,USD,50000,PH,100,PH,S
2279,2022,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
3346,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
1104,2023,SE,FT,Data Manager,100000,USD,100000,US,0,US,M
2656,2022,SE,FT,Data Engineer,70000,EUR,73546,PT,0,PT,M
3250,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
1672,2023,SE,FT,Research Scientist,120000,USD,120000,US,0,US,M
3367,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
3551,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L
2616,2022,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2519,2022,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
2605,2022,SE,FT,Data Scientist,38000,USD,38000,US,100,US,M
203,2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M
1026,2023,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M
2703,2022,EN,FT,Data Analyst,20000,USD,20000,CR,50,US,M
2633,2022,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
1432,2023,MI,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2861,2022,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
3391,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
219,2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M
1410,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M
254,2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M
1351,2023,SE,FT,BI Developer,100000,USD,100000,US,100,US,M
3470,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
1696,2023,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
946,2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
1142,2023,SE,FT,Data Scientist,78000,USD,78000,US,0,US,M
2802,2022,SE,FT,Data Engineer,85000,USD,85000,US,100,US,M
945,2023,SE,FT,Data Analyst,90000,USD,90000,US,100,US,M
1685,2023,SE,FT,Applied Scientist,196000,USD,196000,US,100,US,M
3572,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
1463,2023,EN,FT,Data Analyst,30000,USD,30000,AR,100,US,S
3099,2022,SE,FT,Data Science Manager,185400,USD,185400,US,0,US,M
28,2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
268,2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M
420,2023,EN,FT,Research Engineer,125000,USD,125000,US,0,US,M
123,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M
2819,2021,EN,FT,Machine Learning Research Engineer,20000,USD,20000,FR,50,FR,M
494,2023,SE,FT,AI Developer,60000,USD,60000,UA,0,UA,M
2333,2022,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
3307,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
1854,2022,SE,FT,Machine Learning Engineer,160000,USD,160000,US,100,US,M
1255,2023,SE,FT,Data Engineer,213580,USD,213580,US,100,US,M
1916,2022,MI,FT,Data Scientist,100000,USD,100000,US,0,US,M
2610,2022,SE,FT,Data Scientist,120000,USD,120000,US,100,US,S
2986,2022,SE,FT,ETL Developer,250000,USD,250000,US,0,US,M
